Song,Artist,Difficulty,Lv,CC,Notes,Chart designer,Version
ouroboros -twin stroke of the end-,Cranky VS MASAKI,Past,4,4.5,575,Groove 東星,1.9.0
ouroboros -twin stroke of the end-,Cranky VS MASAKI,Present,7,7.5,832,Groove 東星,1.9.0
ouroboros -twin stroke of the end-,Cranky VS MASAKI,Future,10+,10.7,1369,Groove 東星,1.9.0
Libertas,Zekk,Past,3,3.5,476,Kurorak,1.9.2
Libertas,Zekk,Present,5,5.5,514,Kurorak,1.9.2
Libertas,Zekk,Future,9,9.2,947,Kurorak + Nitro,1.9.2
Libertas,Zekk,Beyond,10,10.5,1048,Exschwasion -unbound-,5.3.0
Solitary Dream,ak+q feat. Sennzai,Past,4,4,712,,1.9.3
Solitary Dream,ak+q feat. Sennzai,Present,7,7,854,,1.9.3
Solitary Dream,ak+q feat. Sennzai,Future,8+,8.8,972,,1.9.3
Antithese,Blacklolita,Past,2,2,845,chaos//engine,2.0.0
Antithese,Blacklolita,Present,5,5,826,chaos//engine,2.0.0
Antithese,Blacklolita,Future,8+,8.8,877,chaos//engine,2.0.0
Antithese,Blacklolita,Beyond,9,9.6,968,石樂,3.10.0
Corruption,3R2,Past,3,3,664,₸öα$†ε₹,2.0.0
Corruption,3R2,Present,6,6.5,847,₸öα$†ε₹,2.0.0
Corruption,3R2,Future,9+,9.8,1293,₸öα$†ε₹,2.0.0
Black Territory,DJ Myosuke,Past,3,3,627,NitroNukeδ,2.0.0
Black Territory,DJ Myosuke,Present,7,7.5,785,NitroNukeδ,2.0.0
Black Territory,DJ Myosuke,Future,9+,9.8,1195,NitroNukeδ,2.0.0
Vicious Heroism,Kobaryo,Past,4,4,430,Nitro vanquish Toaster.,2.0.0
Vicious Heroism,Kobaryo,Present,7,7.5,756,Nitro vanquish Toaster.,2.0.0
Vicious Heroism,Kobaryo,Future,10,10,1150,Nitro vanquish Toaster.,2.0.0
Vicious [ANTi] Heroism,Kobaryo,Beyond,11,11.2,1772,[FUTiLE] Defiance,5.3.0
Cyaegha,USAO,Past,5,5.5,760,夜浪、旧支配者,2.0.0
Cyaegha,USAO,Present,8,8.4,984,夜浪、旧支配者,2.0.0
Cyaegha,USAO,Future,10+,10.7,1368,夜浪、旧支配者,2.0.0
ReviXy,ikaruga_nex,Past,3,3,538,Revoke Kurorak,2.0.0
ReviXy,ikaruga_nex,Present,7,7,729,Revoke Kurorak,2.0.0
ReviXy,ikaruga_nex,Future,9,9.1,1047,Revoke Kurorak,2.0.0
Grimheart,Puru,Past,2,2.5,728,Toaster,2.0.0
Grimheart,Puru,Present,5,5,699,Toaster,2.0.0
Grimheart,Puru,Future,8+,8.7,959,Toaster,2.0.0
VECTOЯ,WHITEFISTS,Past,3,3,675,Nitro,2.0.3
VECTOЯ,WHITEFISTS,Present,7,7,1002,Nitro,2.0.3
VECTOЯ,WHITEFISTS,Future,9,9.4,1299,Nitro,2.0.3
SUPERNOVA,BACO,Past,3,3,664,東超新星,2.0.3
SUPERNOVA,BACO,Present,6,6,564,東超新星,2.0.3
SUPERNOVA,BACO,Future,9+,9.7,1123,東超新星,2.0.3
Dot to Dot feat. shully,Mameyudoufu,Past,3,3,453,•Nitro•,2.0.3
Dot to Dot feat. shully,Mameyudoufu,Present,6,6,522,•Nitro•,2.0.3
Dot to Dot feat. shully,Mameyudoufu,Future,8,8.3,739,•Nitro•,2.0.3
Garakuta Doll Play,t+pazolite,Past,4,4.5,444,Arcaea Charting Team【Royal Flush】,2.1.0
Garakuta Doll Play,t+pazolite,Present,6,6.5,572,Arcaea Charting Team【Royal Flush】,2.1.0
Garakuta Doll Play,t+pazolite,Future,10,10.4,1035,Arcaea Charting Teamからの挑戦状,2.1.0
Ikazuchi,光吉猛修,Past,3,3.5,656,先史の機械神【夜浪】,2.1.0
Ikazuchi,光吉猛修,Present,7,7.5,976,先史の機械神【夜浪】,2.1.0
Ikazuchi,光吉猛修,Future,10,10.3,1347,先史の機械神【夜浪】,2.1.0
World Vanquisher,void (Mournfinale),Past,2,2.5,529,処刑人【東星】,2.1.0
World Vanquisher,void (Mournfinale),Present,5,5.5,759,処刑人【東星】,2.1.0
World Vanquisher,void (Mournfinale),Future,10+,10.7,1452,処刑人【東星】,2.1.0
Dreadnought,Mastermind (xi + nora2r),Past,4,4,715,Nitro,2.2.0
Dreadnought,Mastermind (xi + nora2r),Present,7,7,897,Nitro,2.2.0
Dreadnought,Mastermind (xi + nora2r),Future,9+,9.7,1099,Astronomer (Toaster + 東星),2.2.0
Particle Arts,Virtual Self,Past,3,3.5,529,小東星,2.2.0
Particle Arts,Virtual Self,Present,6,6,637,小東星,2.2.0
Particle Arts,Virtual Self,Future,8,8.8,925,小東星,2.2.0
Vindication,Laur,Past,4,4,721,Toaster,2.2.0
Vindication,Laur,Present,6,6.5,899,Toaster,2.2.0
Vindication,Laur,Future,9,9.6,1075,Nitro vs Toaster,2.2.0
Heavensdoor,LeaF,Past,4,4.5,766,Kurorak,2.2.0
Heavensdoor,LeaF,Present,7,7.5,869,Kurorak,2.2.0
Heavensdoor,LeaF,Future,9+,9.9,1101,Black Tea,2.2.0
Heavensdoor,LeaF,Beyond,10+,10.8,1534,東星※天の門,3.10.0
Ringed Genesis,Edelritter,Past,5,5.5,672,夜浪 vs Nitro,2.2.0
Ringed Genesis,Edelritter,Present,8,8.4,860,夜浪 vs Nitro,2.2.0
Ringed Genesis,Edelritter,Future,10+,10.8,1146,夜浪 vs Nitro,2.2.0
Chelsea,7mai,Past,3,3,388,TaroNuke,2.3.0
Chelsea,7mai,Present,6,6,503,TaroNuke,2.3.0
Chelsea,7mai,Future,8+,8.9,650,TaroNuke,2.3.0
AI[UE]OON,MYUKKE.,Past,3,3.5,436,N[I]TRO,2.3.0
AI[UE]OON,MYUKKE.,Present,6,6.5,623,N[I]TRO,2.3.0
AI[UE]OON,MYUKKE.,Future,9,9.4,989,N[I]TRO,2.3.0
A Wandering Melody of Love,からとPαnchii少年 feat.はるの,Past,3,3.5,422,恋のToaster,2.3.0
A Wandering Melody of Love,からとPαnchii少年 feat.はるの,Present,7,7.5,670,恋のToaster,2.3.0
A Wandering Melody of Love,からとPαnchii少年 feat.はるの,Future,9,9.6,931,恋のToaster,2.3.0
Tie me down gently,溝口ゆうま feat. 大瀬良あい,Past,3,3,581,Kurorak,2.3.0
Tie me down gently,溝口ゆうま feat. 大瀬良あい,Present,5,5.5,535,Kurorak,2.3.0
Tie me down gently,溝口ゆうま feat. 大瀬良あい,Future,8,8.3,724,Kurorak,2.3.0
Valhalla:0,Juggernaut.,Past,4,4.5,624,夜浪,2.3.0
Valhalla:0,Juggernaut.,Present,7,7.5,893,夜浪,2.3.0
Valhalla:0,Juggernaut.,Future,10,10.2,1173,夜浪,2.3.0
Mirzam,Aoi vs. siqlo,Past,4,4,662,東星※おおいぬ座β星,2.3.2
Mirzam,Aoi vs. siqlo,Present,7,7.5,885,東星※おおいぬ座β星,2.3.2
Mirzam,Aoi vs. siqlo,Future,9+,9.9,1303,東星※おおいぬ座β星,2.3.2
Diode,Kolaa,Past,2,2.5,452,Kurorak,2.4.0
Diode,Kolaa,Present,5,5.5,472,Kurorak,2.4.0
Diode,Kolaa,Future,8,8.1,709,Kurorak,2.4.0
FREEF4LL,YUKIYANAGI,Past,4,4,589,N↓TRO,2.4.0
FREEF4LL,YUKIYANAGI,Present,7,7,782,N↓TRO,2.4.0
FREEF4LL,YUKIYANAGI,Future,8,8.6,1023,N↓TRO,2.4.0
FREEF4LL,YUKIYANAGI,Beyond,9+,9.8,1336,TO4STER,4.1.4
GLORY：ROAD,uma vs. モリモリあつし,Past,4,4.5,868,東星※紅空,2.4.0
GLORY：ROAD,uma vs. モリモリあつし,Present,7,7,999,東星※紅空,2.4.0
GLORY：ROAD,uma vs. モリモリあつし,Future,10,10.5,1479,東星※紅空,2.4.0
Monochrome Princess,polysha,Past,4,4.5,621,N↕TRO,2.4.3
Monochrome Princess,polysha,Present,7+,7.8,756,N↕TRO,2.4.3
Monochrome Princess,polysha,Future,9+,9.7,974,N↕TRO,2.4.3
Heavenly caress,Noah,Past,3,3.5,855,Toaster,2.4.3
Heavenly caress,Noah,Present,7,7.5,909,Toaster,2.4.3
Heavenly caress,Noah,Future,9+,9.8,1560,Toaster,2.4.3
Senkyou,MYTK,Past,3,3,627,k//eternal,2.4.5
Senkyou,MYTK,Present,5,5.5,722,k//eternal,2.4.5
Senkyou,MYTK,Future,8+,8.7,964,k//eternal,2.4.5
Filament,Puru,Past,4,4.5,582,Toaster,2.4.5
Filament,Puru,Present,7+,7.8,780,Toaster,2.4.5
Filament,Puru,Future,9+,9.7,991,Toaster,2.4.5
Avant Raze,Sampling Masters MEGA,Past,3,3.5,580,Avant Toast,2.4.7
Avant Raze,Sampling Masters MEGA,Present,6,6.5,727,Avant Toast,2.4.7
Avant Raze,Sampling Masters MEGA,Future,9,9.6,1125,Avant Toast,2.4.7
BATTLE NO.1,TANO*C Sound Team,Past,3,3.5,476,Nitro,2.4.9
BATTLE NO.1,TANO*C Sound Team,Present,6,6.5,677,Nitro,2.4.9
BATTLE NO.1,TANO*C Sound Team,Future,9+,9.7,1042,Arcaea Team,2.4.9
La'qryma of the Wasteland,DJ Noriken,Past,3,3.5,447,Toaster,2.5.0
La'qryma of the Wasteland,DJ Noriken,Present,6,6.5,651,Toaster,2.5.0
La'qryma of the Wasteland,DJ Noriken,Future,9,9.1,956,Toaster,2.5.0
La'qryma of the Wasteland,DJ Noriken,Beyond,10,10,1161,Nitro 「The Forsaken」,3.6.4
Einherjar Joker,DJ Genki vs Gram,Past,4,4,582,Requiem TaroNuke,2.5.0
Einherjar Joker,DJ Genki vs Gram,Present,7,7,767,Requiem TaroNuke,2.5.0
Einherjar Joker,DJ Genki vs Gram,Future,9+,9.8,1159,Requiem TaroNuke,2.5.0
Einherjar Joker,DJ Genki vs Gram,Beyond,10+,10.9,1857,~REQUIEM~ 夜浪,5.3.0
IZANA,t+pazolite vs P*Light,Past,5,5,609,NITRO,2.5.0
IZANA,t+pazolite vs P*Light,Present,8,8.3,836,NITRO,2.5.0
IZANA,t+pazolite vs P*Light,Future,10,10.3,976,NITRO,2.5.0
SAIKYO STRONGER,REDALiCE vs USAO,Past,5,5.5,654,最強FUMEN (夜浪 ft. 東星),2.5.0
SAIKYO STRONGER,REDALiCE vs USAO,Present,9,9.4,1067,最強FUMEN (夜浪 ft. 東星),2.5.0
SAIKYO STRONGER,REDALiCE vs USAO,Future,11,11,1384,最強FUMEN (夜浪 ft. 東星),2.5.0
world.execute(me);,Mili,Past,3,3.5,452,toaster.chart(this);,2.5.2
world.execute(me);,Mili,Present,5,5,582,toaster.chart(this);,2.5.2
world.execute(me);,Mili,Future,8,8,851,toaster.chart(this);,2.5.2
BLRINK,Sta,Past,3,3.5,400,過去の縁,2.5.3
BLRINK,Sta,Present,7+,7.8,683,現在の縁,2.5.3
BLRINK,Sta,Future,9+,9.7,1015,未来の縁,2.5.3
Oblivia,Saiph,Past,3,3.5,574,Toaster,2.6.0
Oblivia,Saiph,Present,5,5,517,Toaster,2.6.0
Oblivia,Saiph,Future,8,8.3,956,Toaster,2.6.0
Oblivia,Saiph,Beyond,9+,9.7,1021,Nitro 「The Forgotten」,5.3.0
amygdata,nitro,Past,4,4,504,Nitro,2.6.0
amygdata,nitro,Present,7,7.5,711,Nitro,2.6.0
amygdata,nitro,Future,9+,9.7,1199,Nitro,2.6.0
corps-sans-organes,cybermiso,Past,4,4.5,438,夜浪「月食」,2.6.0
corps-sans-organes,cybermiso,Present,7+,7.8,615,夜浪「月食」,2.6.0
corps-sans-organes,cybermiso,Future,10,10.6,1077,夜浪「月食」,2.6.0
Equilibrium,Maozon,Past,3,3.5,587,Kurorak,3.0.0
Equilibrium,Maozon,Present,6,6.5,724,Kurorak,3.0.0
Equilibrium,Maozon,Future,9,9.4,951,Kurorak,3.0.0
Antagonism,Yooh vs. siromaru,Past,4,4.5,431,Toaster,3.0.0
Antagonism,Yooh vs. siromaru,Present,7+,7.8,738,Toaster,3.0.0
Antagonism,Yooh vs. siromaru,Future,9+,9.9,1142,Toaster,3.0.0
Lost Desire,Powerless feat. Sennzai,Past,4,4,684,Darkest Dream,3.0.0
Lost Desire,Powerless feat. Sennzai,Present,7+,7.8,871,Darkest Dream,3.0.0
Lost Desire,Powerless feat. Sennzai,Future,9+,9.8,1154,Darkest Dream,3.0.0
Dantalion,Team Grimoire,Past,5,5,731,夜浪,3.0.0
Dantalion,Team Grimoire,Present,8,8.2,843,東星,3.0.0
Dantalion,Team Grimoire,Future,10+,10.8,1476,"夜浪 X 東星 ""The Lost""",3.0.0
#1f1e33,かめりあ(EDP),Past,5,5.5,765,夜浪,3.0.0
#1f1e33,かめりあ(EDP),Present,9,9.2,1144,夜浪,3.0.0
#1f1e33,かめりあ(EDP),Future,11,11.1,1576,"夜浪 VS 東星 ""Convergence""",3.0.0
Tempestissimo,t+pazolite,Past,7,7,919,Prelude - Ouverture,3.0.0
Tempestissimo,t+pazolite,Present,9,9.5,1034,Convergence - Intermezzo,3.0.0
Tempestissimo,t+pazolite,Future,10+,10.7,1254,Onslaught - Crescendo,3.0.0
Tempestissimo,t+pazolite,Beyond,11,11.7,1540,Finale - The Tempest,3.0.0
Arcahv,Feryquitous,Past,4,4.5,818,∅,3.0.0
Arcahv,Feryquitous,Present,7+,7.8,884,∅,3.0.0
Arcahv,Feryquitous,Future,9+,9.9,1065,∅,3.0.0
Altale,Sakuzyo,Past,2,2.5,357,Kurorak,3.0.0
Altale,Sakuzyo,Present,5,5.5,424,Kurorak,3.0.0
Altale,Sakuzyo,Future,9+,9.8,690,Kurorak,3.0.0
Altale,Sakuzyo,Beyond,10,10,1074,nora::neko << fantasy,6.4.0
Give Me a Nightmare,アリスシャッハと魔法の楽団,Past,3,3.5,676,CERiNG,3.0.0
Give Me a Nightmare,アリスシャッハと魔法の楽団,Present,5,5.5,817,CERiNG,3.0.0
Give Me a Nightmare,アリスシャッハと魔法の楽団,Future,8+,8.9,948,CERiNG,3.0.0
Black Lotus,wa.,Past,3,3,653,Exschwasion,3.0.0
Black Lotus,wa.,Present,6,6.5,687,Exschwasion,3.0.0
Black Lotus,wa.,Future,9+,9.7,965,Exschwasion,3.0.0
Gekka (Short Version),Nhato,Past,4,4,559,Nitro,3.0.0
Gekka (Short Version),Nhato,Present,6,6.5,628,Nitro,3.0.0
Gekka (Short Version),Nhato,Future,8,8.6,817,Nitro,3.0.0
Vivid Theory,ak+q,Past,2,2,447,TaroNuke,3.0.0
Vivid Theory,ak+q,Present,5,5,658,TaroNuke,3.0.0
Vivid Theory,ak+q,Future,8+,8.8,885,TaroNuke,3.0.0
1F√,WHITEFISTS,Past,2,2.5,411,Nitro,3.0.0
1F√,WHITEFISTS,Present,6,6.5,539,Nitro,3.0.0
1F√,WHITEFISTS,Future,8,8.2,758,Nitro,3.0.0
Scarlet Cage,Daisuke Kurosawa,Past,4,4,570,赤Nitro,3.0.3
Scarlet Cage,Daisuke Kurosawa,Present,7,7.5,711,赤Nitro,3.0.3
Scarlet Cage,Daisuke Kurosawa,Future,9+,9.8,1195,赤Nitro,3.0.3
Faint Light (Arcaea Edit),Taishi,Past,3,3,587,Nitro,3.0.3
Faint Light (Arcaea Edit),Taishi,Present,6,6,711,Nitro,3.0.3
Faint Light (Arcaea Edit),Taishi,Future,9,9.1,809,Nitro,3.0.3
Feels So Right feat. Renko,Mysteka,Past,3,3.5,594,Toaster,3.0.3
Feels So Right feat. Renko,Mysteka,Present,6,6.5,636,Toaster,3.0.3
Feels So Right feat. Renko,Mysteka,Future,9,9.3,947,Toaster,3.0.3
Teriqma,owl＊tree,Past,3,3,345,Nitro,3.0.5
Teriqma,owl＊tree,Present,6,6.5,579,Nitro,3.0.5
Teriqma,owl＊tree,Future,9,9.4,873,Nitro,3.0.5
Teriqma,owl＊tree,Beyond,9+,9.7,954,én 200716,4.4.0
MAHOROBA,Zekk,Past,3,3,422,Nitro,3.0.6
MAHOROBA,Zekk,Present,6,6.5,632,Nitro,3.0.6
MAHOROBA,Zekk,Future,9,9.5,828,TaroNuke + Nitro,3.0.6
BADTEK,EBIMAYO,Past,4,4,532,Toaster,3.1.0
BADTEK,EBIMAYO,Present,7,7,595,Toaster,3.1.0
BADTEK,EBIMAYO,Future,9+,9.7,916,BADTOAST ft. Kurorak,3.1.0
Malicious Mischance,s-don,Past,4,4,510,×NITRO×,3.1.2
Malicious Mischance,s-don,Present,7+,7.8,706,×NITRO×,3.1.2
Malicious Mischance,s-don,Future,10,10.2,1126,×NITRO×,3.1.2
Got hive of Ra,E.G.G.,Past,3,3,322,Groove Nitro,3.2.0
Got hive of Ra,E.G.G.,Present,6,6.5,509,Groove Nitro,3.2.0
Got hive of Ra,E.G.G.,Future,9+,9.8,794,Groove Nitro,3.2.0
BUCHiGiRE Berserker,REDALiCE vs MASAKI,Past,5,5,850,夜浪,3.2.0
BUCHiGiRE Berserker,REDALiCE vs MASAKI,Present,8,8.6,1046,夜浪,3.2.0
BUCHiGiRE Berserker,REDALiCE vs MASAKI,Future,10+,10.8,1412,東星 vs 夜浪 《BERSERK》,3.2.0
Galaxy Friends,Kobaryo,Past,3,3.5,474,Nitrome X,3.2.1
Galaxy Friends,Kobaryo,Present,6,6,572,Nitrome X,3.2.1
Galaxy Friends,Kobaryo,Future,9+,9.9,1013,Nitrome X,3.2.1
CROSS†OVER,HyuN feat. LyuU,Past,4,4,653,Exschwasion,3.2.1
CROSS†OVER,HyuN feat. LyuU,Present,6,6.5,810,Exschwasion,3.2.1
CROSS†OVER,HyuN feat. LyuU,Future,9,9.4,1094,Exschwasion,3.2.1
Xeraphinite,BlackY,Past,3,3,383,東星※空の宝石,3.2.2
Xeraphinite,BlackY,Present,7,7.5,643,東星※空の宝石,3.2.2
Xeraphinite,BlackY,Future,9+,9.8,1048,東星※空の宝石,3.2.2
Lapis,SHIKI,Past,2,2,391,CERiNG,3.2.2
Lapis,SHIKI,Present,6,6,520,CERiNG,3.2.2
Lapis,SHIKI,Future,9,9.4,920,CERiNG,3.2.2
Xanatos,Tatsh,Past,4,4,735,XERiNG,3.2.3
Xanatos,Tatsh,Present,7,7.5,938,eXschwasion,3.2.3
Xanatos,Tatsh,Future,10,10,1232,XERiNG × eXschwasion × NitromeX,3.2.3
Purple Verse,Hommarju,Past,4,4,558,Exschwasion,3.3.0
Purple Verse,Hommarju,Present,7,7.5,664,Exschwasion,3.3.0
Purple Verse,Hommarju,Future,9,9.6,1023,Exschwasion,3.3.0
Purple Verse,Hommarju,Beyond,10,10.6,1202,/ERROR/ 絶滅,5.3.0
Alice à la mode,Masanori Akita,Past,2,2.5,436,Toaster,3.3.0
Alice à la mode,Masanori Akita,Present,6,6.5,618,Toaster,3.3.0
Alice à la mode,Masanori Akita,Future,9,9.2,872,Toaster,3.3.0
Eccentric Tale,Yamajet,Past,2,2,313,Nitro,3.3.0
Eccentric Tale,Yamajet,Present,5,5.5,483,Nitro,3.3.0
Eccentric Tale,Yamajet,Future,8,8.4,732,Nitro,3.3.0
Alice's Suitcase,Endorfin.,Past,3,3.5,644,Kurorak,3.3.0
Alice's Suitcase,Endorfin.,Present,6,6,660,Kurorak,3.3.0
Alice's Suitcase,Endorfin.,Future,9,9.1,999,Kurorak,3.3.0
Jump,Rasmus Faber,Past,4,4,531,Nitroだー！,3.3.0
Jump,Rasmus Faber,Present,6,6,622,Nitroだー！,3.3.0
Jump,Rasmus Faber,Future,9,9,841,Nitroだー！,3.3.0
Felis,M2U,Past,4,4,463,東星,3.3.0
Felis,M2U,Present,7,7.5,624,東星,3.3.0
Felis,M2U,Future,10,10.4,1153,東星,3.3.0
Beside You,江口孝宏,Past,2,2.5,526,CERiNG,3.3.1
Beside You,江口孝宏,Present,6,6,634,CERiNG,3.3.1
Beside You,江口孝宏,Future,8+,8.7,703,CERiNG,3.3.1
Heart Jackin',Yu_Asahina,Past,3,3,506,TaroNuke + Nitro,3.3.1
Heart Jackin',Yu_Asahina,Present,5,5.5,543,TaroNuke + Nitro,3.3.1
Heart Jackin',Yu_Asahina,Future,9+,9.7,1112,TaroNuke + Nitro,3.3.1
To: Alice Liddell,モリモリあつし,Past,4,4,535,"Yours Sincerely, 夜浪",3.3.1
To: Alice Liddell,モリモリあつし,Present,7,7.5,674,"Yours Sincerely, 夜浪",3.3.1
To: Alice Liddell,モリモリあつし,Future,10,10.3,998,"Yours Sincerely, 夜浪",3.3.1
Lazy Addiction,sky_delta,Past,2,2.5,462,Nitro without Toaster.,3.4.0
Lazy Addiction,sky_delta,Present,6,6,647,Nitro without Toaster.,3.4.0
Lazy Addiction,sky_delta,Future,9,9.6,1031,Nitro without Toaster.,3.4.0
Dazzle hop,Sampling Masters MEGA,Past,3,3.5,561,Kuro rak,3.4.0
Dazzle hop,Sampling Masters MEGA,Present,6,6.5,571,Kuro rak,3.4.0
Dazzle hop,Sampling Masters MEGA,Future,9+,9.7,1022,Kuro rak,3.4.0
Viyella's Tears,Laur,Past,4,4,716,東星の涙,3.4.0
Viyella's Tears,Laur,Present,7+,7.8,942,東星の涙,3.4.0
Viyella's Tears,Laur,Future,10,10.3,1403,東星の涙,3.4.0
ω4,穴山大輔 VS 光吉猛修 VS Kai,Past,3,3.5,816,τ0,3.4.0
ω4,穴山大輔 VS 光吉猛修 VS Kai,Present,7+,7.8,943,τ0,3.4.0
ω4,穴山大輔 VS 光吉猛修 VS Kai,Future,10+,10.8,1393,τ0,3.4.0
April showers,cubesato,Past,2,2,363,Nitro-100号,3.4.1
April showers,cubesato,Present,5,5.5,544,Nitro-100号,3.4.1
April showers,cubesato,Future,8,8.6,697,Nitro-100号,3.4.1
7thSense,削除,Past,3,3,360,石樂,3.4.1
7thSense,削除,Present,7+,7.8,739,石樂,3.4.1
7thSense,削除,Future,9+,9.9,925,石樂,3.4.1
Oshama Scramble!,t+pazolite,Past,3,3.5,508,Nitro!+9牛乳,3.4.1
Oshama Scramble!,t+pazolite,Present,6,6.5,568,Nitro!+99牛乳,3.4.1
Oshama Scramble!,t+pazolite,Future,10,10,1073,Nitro!+999牛乳,3.4.1
AMAZING MIGHTYYYY!!!!,WAiKURO,Past,4,4.5,624,AMAZING TOASTYYYY!!!!,3.4.1
AMAZING MIGHTYYYY!!!!,WAiKURO,Present,7+,7.8,776,AMAZING TOASTYYYY!!!!,3.4.1
AMAZING MIGHTYYYY!!!!,WAiKURO,Future,10+,10.7,1249,AMAZING TOASTYYYY!!!!,3.4.1
Climax,USAO,Past,4,4.5,773,Nitro -EXTRA ROUND-,3.5.0
Climax,USAO,Present,7+,7.8,988,Nitro -EXTRA ROUND-,3.5.0
Climax,USAO,Future,10,10.4,1367,Nitro -EXTRA ROUND-,3.5.0
Last Celebration,Laur vs CK,Past,3,3.5,969,Nitro affected by 'CHUNITHM',3.5.0
Last Celebration,Laur vs CK,Present,6,6.5,994,Nitro affected by 'CHUNITHM',3.5.0
Last Celebration,Laur vs CK,Future,10,10.4,1475,Nitro affected by 'CHUNITHM',3.5.0
Misdeed -la bonté de Dieu et l'origine du mal-,光吉猛修 VS 穴山大輔,Past,5,5.5,814,神の啓示「人類の限界」,3.5.0
Misdeed -la bonté de Dieu et l'origine du mal-,光吉猛修 VS 穴山大輔,Present,8,8.5,1070,神の啓示「人類の希望」,3.5.0
Misdeed -la bonté de Dieu et l'origine du mal-,光吉猛修 VS 穴山大輔,Future,10+,10.9,1522,神の啓示「人類の未来」,3.5.0
Glow,SPACELECTRO,Past,4,4,504,Exschwasion,3.5.0
Glow,SPACELECTRO,Present,7,7.5,666,Exschwasion,3.5.0
Glow,SPACELECTRO,Future,9,9.3,916,Exschwasion,3.5.0
AttraqtiA,かめりあ,Past,4,4,732,Toaster affected by 'CHUNITHM',3.5.0
AttraqtiA,かめりあ,Present,8,8.3,1002,Toaster affected by 'CHUNITHM',3.5.0
AttraqtiA,かめりあ,Future,10,10.6,1433,Toaster affected by 'CHUNITHM',3.5.0
enchanted love,linear ring,Past,2,2,436,Toaster,3.5.1
enchanted love,linear ring,Present,4,4.5,617,Toaster,3.5.1
enchanted love,linear ring,Future,8,8.6,759,Toaster,3.5.1
Bamboo,立秋 feat.ちょこ,Past,3,3,499,竹の子,3.5.1
Bamboo,立秋 feat.ちょこ,Present,6,6.5,631,竹の子,3.5.1
Bamboo,立秋 feat.ちょこ,Future,10,10,1050,竹の子,3.5.1
GIMME DA BLOOD,C-Show,Past,3,3.5,582,夜浪,3.5.2
GIMME DA BLOOD,C-Show,Present,7,7.5,737,夜浪,3.5.2
GIMME DA BLOOD,C-Show,Future,10,10.5,1093,夜浪,3.5.2
Can I Friend You on Bassbook? Lol,かめりあ feat. ななひら,Past,3,3,415,トースト食べる？笑,3.5.4
Can I Friend You on Bassbook? Lol,かめりあ feat. ななひら,Present,6,6.5,548,トースト食べる？笑,3.5.4
Can I Friend You on Bassbook? Lol,かめりあ feat. ななひら,Future,9,9.3,861,トースト食べる？笑,3.5.4
Life is PIANO,Junk,Past,3,3.5,398,Nitro,3.5.4
Life is PIANO,Junk,Present,6,6,437,Nitro,3.5.4
Life is PIANO,Junk,Future,9,9.1,674,Nitro,3.5.4
Paper Witch,Yu-dachi,Past,2,2,348,CERiNG,3.6.0
Paper Witch,Yu-dachi,Present,5,5,487,CERiNG,3.6.0
Paper Witch,Yu-dachi,Future,8+,8.7,793,CERiNG,3.6.0
Crystal Gravity,Tanchiky vs. siromaru,Past,3,3.5,571,Exschwasion,3.6.0
Crystal Gravity,Tanchiky vs. siromaru,Present,6,6.5,653,Exschwasion,3.6.0
Crystal Gravity,Tanchiky vs. siromaru,Future,9,9.4,872,Exschwasion,3.6.0
Far Away Light,technoplanet feat. はるの & 黒沢ダイスケ,Past,4,4.5,656,Toaster,3.6.0
Far Away Light,technoplanet feat. はるの & 黒沢ダイスケ,Present,7+,7.8,769,Toaster,3.6.0
Far Away Light,technoplanet feat. はるの & 黒沢ダイスケ,Future,9+,9.8,1322,Toaster,3.6.0
Löschen,BlackY feat. Risa Yuzuki,Past,3,3.5,642,絶滅,3.6.0
Löschen,BlackY feat. Risa Yuzuki,Present,7,7,850,絶滅,3.6.0
Löschen,BlackY feat. Risa Yuzuki,Future,10,10.2,1235,絶滅,3.6.0
Aegleseeker,Silentroom vs Frums,Past,5,5.5,973,⟨RECORD START⟩ 0:,3.6.0
Aegleseeker,Silentroom vs Frums,Present,9,9.1,1235,"⟨OBSRV⟩ boundary(?°a,?°A)",3.6.0
Aegleseeker,Silentroom vs Frums,Future,11,11.2,1568,L₆ː The Void,3.6.0
Coastal Highway,Glitch Droids,Past,3,3,355,Exschwasion,3.6.0
Coastal Highway,Glitch Droids,Present,6,6,479,Exschwasion,3.6.0
Coastal Highway,Glitch Droids,Future,9,9.1,732,Exschwasion,3.6.0
ΟΔΥΣΣΕΙΑ,Sober Bear,Past,4,4,717,ΤΟΑΣΤΕΡ,3.6.0
ΟΔΥΣΣΕΙΑ,Sober Bear,Present,7+,7.8,909,ΤΟΑΣΤΕΡ,3.6.0
ΟΔΥΣΣΕΙΑ,Sober Bear,Future,9,9.5,1092,ΤΟΑΣΤΕΡ,3.6.0
Overwhelm,xi,Past,5,5,854,夜浪,3.6.0
Overwhelm,xi,Present,8,8.5,1038,夜浪,3.6.0
Overwhelm,xi,Future,10,10.6,1251,夜浪,3.6.0
Vandalism,Ashrount,Past,3,3.5,668,Kurorak,3.6.0
Vandalism,Ashrount,Present,7,7,685,Kurorak,3.6.0
Vandalism,Ashrount,Future,9+,9.7,1087,Kurorak,3.6.0
Turbocharger,A/I,Past,2,2.5,419,Toaster,3.6.2
Turbocharger,A/I,Present,6,6,659,Toaster,3.6.2
